,vacancy_name,vacancy_link,min_salary,max_salary,currency
117,Middle/Senior Data Scientist в направление Рекомендательной платформы (Big Data),https://kazan.hh.ru/vacancy/76384250?from=vacancy_search_list&query=data+scientist,0,0,
118,Middle Data Scientist в Sber AI LAB,https://kazan.hh.ru/vacancy/76214534?from=vacancy_search_list&query=data+scientist,0,0,
119,Data Engineer (внедрение моделей),https://kazan.hh.ru/vacancy/76286200?from=vacancy_search_list&query=data+scientist,0,0,
120,Data Engineer/Analyst DWH (Управление валидации),https://kazan.hh.ru/vacancy/76939629?from=vacancy_search_list&query=data+scientist,0,0,
121,Senior Аналитик / Senior Data Science (Москва),https://kazan.hh.ru/vacancy/75601449?from=vacancy_search_list&query=data+scientist,0,0,
122,Senior Python developer (MLOps),https://kazan.hh.ru/vacancy/72709055?from=vacancy_search_list&query=data+scientist,3500,0,EUR
123,Data Engineer направления разработки витрин данных,https://kazan.hh.ru/vacancy/69418341?from=vacancy_search_list&query=data+scientist,0,0,
124,Senior Python developer (MLOps),https://kazan.hh.ru/vacancy/72696394?from=vacancy_search_list&query=data+scientist,3500,0,EUR
125,Data engineer,https://kazan.hh.ru/vacancy/76453654?from=vacancy_search_list&query=data+scientist,0,0,
126,Machine Learning Engineer,https://kazan.hh.ru/vacancy/76102956?from=vacancy_search_list&query=data+scientist,0,0,
127,Data Engineer,https://kazan.hh.ru/vacancy/76273545?from=vacancy_search_list&query=data+scientist,0,0,
128,Data Engineer,https://kazan.hh.ru/vacancy/76273800?from=vacancy_search_list&query=data+scientist,0,0,
129,Data Scientist,https://kazan.hh.ru/vacancy/77075807?from=vacancy_search_list&query=data+scientist,0,0,
130,ML-инженер (Data Scientist),https://kazan.hh.ru/vacancy/76734803?from=vacancy_search_list&query=data+scientist,0,0,
131,Аналитик данных (Data Scientist),https://kazan.hh.ru/vacancy/77023624?from=vacancy_search_list&query=data+scientist,0,0,
132,Junior Data scientist (RecSys),https://kazan.hh.ru/vacancy/76975464?from=vacancy_search_list&query=data+scientist,0,0,
133,Junior Data Scientist,https://kazan.hh.ru/vacancy/71582181?from=vacancy_search_list&query=data+scientist,0,0,
134,Data Scientist,https://kazan.hh.ru/vacancy/76980581?from=vacancy_search_list&query=data+scientist,0,0,
135,Data scientist,https://kazan.hh.ru/vacancy/69570766?from=vacancy_search_list&query=data+scientist,0,0,
136,Аналитик / Data scientist,https://kazan.hh.ru/vacancy/76914442?from=vacancy_search_list&query=data+scientist,0,0,
137,Data Scientist,https://kazan.hh.ru/vacancy/76911902?from=vacancy_search_list&query=data+scientist,0,0,
138,Data Scientist / ML-разработчик,https://kazan.hh.ru/vacancy/72559915?from=vacancy_search_list&query=data+scientist,0,0,
139,Senior Data Scientist (оценка моделей),https://kazan.hh.ru/vacancy/74135137?from=vacancy_search_list&query=data+scientist,0,0,
140,Руководитель направления технологий компьютерного зрения,https://kazan.hh.ru/vacancy/77096625?from=vacancy_search_list&query=data+scientist,0,0,
141,Team Lead (Применение моделей),https://kazan.hh.ru/vacancy/76350205?from=vacancy_search_list&query=data+scientist,0,0,
